日期,CS石油石化,CS煤炭,CS有色金属,CS电力及公用事业,CS钢铁,CS基础化工,CS建筑,CS建材,CS轻工制造,CS机械,CS电力设备,CS国防军工,CS汽车,CS商贸零售,CS餐饮旅游,CS家电,CS纺织服装,CS医药,CS食品饮料,CS农林牧渔,CS银行,CS非银行金融,CS房地产,CS交通运输,CS电子元器件,CS通信,CS计算机,CS传媒,CS综合,全部A股
2005-01-07,5.2836,9.0153,5.6566,5.9560,4.7576,5.1032,4.2331,4.5092,5.1286,6.0379,5.9096,6.9223,4.2097,5.2494,5.6197,5.4823,5.2773,5.9738,6.0375,4.5687,6.2010,4.5276,4.9183,6.4754,6.1447,5.0326,7.9249,11.4565,4.3220,5.4635
2005-01-14,5.1076,9.0744,5.7038,5.9225,4.8080,5.1359,4.2447,4.5088,5.1503,6.0648,5.9207,6.8186,4.2471,5.2956,5.6335,5.5254,5.2582,6.0086,6.0756,4.5754,6.3215,4.4389,4.9240,6.5020,6.1253,5.1016,7.8494,11.3049,4.3160,5.4787
2005-01-21,5.0222,8.8931,5.6484,5.7237,4.8727,5.0358,4.2050,4.5096,4.9907,6.0519,5.7658,6.7106,4.3231,5.2845,5.5714,5.4777,5.1964,5.9259,6.0166,4.4970,6.4775,4.2770,4.9618,6.3545,5.9938,5.2330,7.6684,11.1057,4.2161,5.4335
2005-01-28,4.9946,8.8736,5.5947,5.6015,4.8529,4.9305,4.0765,4.3660,4.8493,5.9360,5.4635,6.4106,4.1468,5.1694,5.3907,5.3556,4.9902,5.7850,5.9862,4.3327,6.3532,4.1274,4.8964,6.3054,5.7332,5.0720,7.2885,10.6235,4.0550,5.3114
2005-02-04,5.3313,9.5155,5.7538,5.8623,5.1828,5.0343,4.0883,4.3983,4.8394,6.0923,5.5175,6.5323,4.3290,5.1964,5.3852,5.4072,5.0325,5.8094,6.1802,4.3129,6.9096,4.2783,5.0762,6.5322,5.8381,5.1698,7.3096,10.7111,3.9793,5.4670
2005-02-18,5.2936,9.5377,5.7617,5.8343,5.0834,5.0372,4.1441,4.4492,4.8421,6.1013,5.5737,6.6085,4.3002,5.1930,5.3943,5.3802,5.0548,5.8134,6.1386,4.3259,6.7405,4.2432,5.0285,6.4367,5.8776,5.1579,7.3188,10.5877,4.0050,5.4450
2005-02-25,5.5585,10.0232,6.1795,6.0535,5.2431,5.3471,4.3751,4.6809,5.0599,6.4554,6.0463,7.0432,4.5434,5.5131,5.7290,5.6677,5.3406,6.0945,6.4366,4.6006,6.9053,4.4083,5.2274,6.6650,6.2525,5.3395,7.8007,11.3596,4.2371,5.7134
2005-03-04,5.5266,9.6190,6.0842,6.0252,5.0465,5.2808,4.2893,4.5342,4.9285,6.3621,5.8608,6.9441,4.3877,5.3730,5.6922,5.5293,5.2315,5.9902,6.3685,4.5755,6.6439,4.3636,5.1029,6.5779,6.0711,5.2613,7.6083,11.2776,4.1429,5.6006
2005-03-11,5.5512,9.4489,6.2153,6.0045,4.9970,5.3805,4.2635,4.5488,4.8807,6.5925,5.8531,7.1240,4.3861,5.4480,5.7048,5.5948,5.2454,6.1192,6.4640,4.5152,6.4399,4.1576,5.0774,6.7372,6.1435,5.2299,7.6667,11.1299,4.1390,5.6300
2005-03-18,5.3005,8.8851,5.8600,5.6540,4.8157,5.1009,4.0524,4.2741,4.6006,6.2936,5.3696,6.7746,4.1052,5.1871,5.4892,5.1656,4.9398,5.7965,6.3558,4.3422,6.3493,3.9695,4.7041,6.5181,5.6284,4.9316,7.1593,10.4331,3.8773,5.3370
2005-03-25,5.2092,8.9300,5.8186,5.5372,4.7767,5.0227,3.9155,4.1676,4.4898,5.9988,5.2597,6.8417,4.0049,4.8446,5.3537,4.9788,4.8055,5.7311,6.3328,4.2730,6.2073,3.7330,4.6207,6.5771,5.3833,4.7029,6.8152,10.1876,3.7645,5.2235
2005-04-01,5.3195,9.3037,5.7565,5.6143,4.8905,5.0769,3.8619,4.1256,4.5798,6.0822,5.2662,6.7784,3.9922,4.8777,5.3427,5.0678,4.7475,5.7307,6.4009,4.2286,6.3996,3.8680,4.6193,6.6285,5.3978,4.6856,6.8130,10.0514,3.7022,5.2613
2005-04-08,5.5434,9.7920,5.9964,5.7597,4.7599,5.2835,3.9501,4.1854,4.5752,6.3163,5.3294,6.8915,4.0392,5.0068,5.4125,5.0764,4.8272,5.8871,6.5985,4.2545,6.8604,4.0998,4.7385,6.8611,5.4856,4.6549,6.7931,10.0882,3.7693,5.3822
2005-04-15,5.3307,9.3982,5.7807,5.5759,4.7138,5.1317,3.7770,4.0418,4.5246,6.1117,5.1415,6.6515,3.9153,4.8196,5.2985,5.0323,4.6575,5.7268,6.2839,4.1125,6.6377,4.0059,4.5578,6.6413,5.1966,4.4041,6.4582,9.5858,3.5857,5.2042
2005-04-22,5.1032,9.3879,5.4704,5.2978,4.5161,4.8669,3.4425,3.7124,4.2643,5.7969,4.7533,6.3714,3.6384,4.5886,4.7902,4.7288,4.3616,5.4242,6.0711,3.8200,6.2155,3.6278,4.2779,6.6554,4.7187,4.1997,5.8727,8.9354,3.2733,4.9396
2005-04-29,5.0634,8.9891,5.3576,5.3530,4.2296,4.7787,3.6814,3.5821,4.2449,5.4342,4.6247,6.4183,3.5911,4.6081,4.6782,4.7821,4.0638,5.4863,6.2911,3.8286,6.3754,3.9605,4.2754,6.6199,4.6149,4.0425,5.6834,8.4873,3.2490,4.8741
2005-05-13,4.7331,8.3298,4.9907,4.9300,4.1582,4.5006,3.5025,3.4078,4.1760,5.0532,4.4332,6.1132,3.5269,4.4088,4.3981,4.6978,3.8678,5.3052,5.9013,3.7276,6.1409,3.7909,3.9475,6.2187,4.5844,3.9611,5.8623,8.5673,3.0828,4.6464
2005-05-20,4.5723,7.3984,4.8773,5.0416,4.1408,4.4751,3.4973,3.4527,4.0809,5.0983,4.4673,5.6795,3.5441,4.4083,4.3498,4.7427,3.8302,5.4058,5.9675,3.7638,6.1905,3.9850,3.9925,6.1814,4.5212,3.8557,5.8041,8.5417,3.1198,4.6365
2005-05-27,4.3504,6.9736,4.7087,4.8317,3.9464,4.2512,3.4495,3.3557,3.9456,4.8248,4.3612,5.4851,3.4978,4.2526,4.4039,4.7138,3.6072,5.0703,5.6139,3.6610,5.9992,3.8573,3.8802,5.7872,4.4840,3.8703,5.5555,8.3729,3.1102,4.4603
2005-06-03,4.2080,6.3692,4.5235,4.6638,3.8735,4.0377,3.4153,3.3188,3.7469,4.5524,4.2361,5.1648,3.3904,4.1672,4.2103,4.4719,3.5381,4.8921,5.4202,3.5418,5.8749,3.7424,3.7137,5.5280,4.3074,3.7416,5.3705,7.8104,3.0436,4.2975
2005-06-10,4.6244,6.8297,4.9310,5.1315,4.1955,4.4118,3.6759,3.5324,4.0369,5.0015,4.6471,5.6544,3.6762,4.5045,4.5755,4.8525,3.7997,5.2021,5.9039,3.8005,6.3921,4.3900,4.0164,6.0152,4.7551,4.0329,5.7975,8.8614,3.3020,4.6689
2005-06-17,4.4587,6.4154,4.6990,5.0428,4.1722,4.1741,3.5473,3.3948,3.9124,4.6360,4.5208,5.3901,3.5667,4.4282,4.3621,4.6600,3.5920,5.0137,5.8196,3.6579,6.3450,4.1996,3.9025,5.8995,4.4647,3.9583,5.6308,8.7011,3.2038,4.5254
2005-06-24,4.5581,6.6182,4.7680,5.0475,4.1413,4.3140,3.6064,3.4417,3.9765,4.6851,4.5733,5.5470,3.5862,4.4906,4.4513,4.6509,3.6930,5.0754,6.0212,3.6861,5.7185,4.0225,3.9769,6.1186,4.4858,3.9988,5.6559,8.8425,3.2257,4.5714
2005-07-01,4.3359,6.1093,4.5100,4.8698,3.9977,4.0284,3.4039,3.1648,3.7385,4.3322,4.3171,5.2860,3.4116,4.2758,4.1186,4.4146,3.4657,4.8603,5.7716,3.4795,5.4283,3.7208,3.5620,5.7941,4.1239,3.7839,5.2372,8.6824,2.9232,4.3122
2005-07-08,4.2467,5.6983,4.3210,4.7778,3.8206,3.8276,3.1792,2.9965,3.6442,4.0352,3.9980,5.1605,3.2613,4.0655,3.9872,4.1576,3.3083,4.6408,5.6417,3.3632,5.3213,3.4628,3.4125,5.5149,3.7564,3.6276,4.9313,8.2188,2.7867,4.1230
2005-07-15,4.2842,5.5381,4.2960,4.7339,3.8962,3.8362,3.0912,2.9570,3.6159,4.0291,3.9597,5.1337,3.2457,4.0877,3.8864,4.1287,3.2308,4.5665,5.5420,3.3262,5.6010,3.4797,3.3703,5.6111,3.7553,3.6994,5.0127,8.3895,2.7817,4.1280
2005-07-22,4.3552,5.6171,4.2780,4.8261,3.9324,3.7757,3.0771,2.8633,3.6836,4.0555,4.0235,5.4404,3.2220,4.1531,3.9858,3.9564,3.2191,4.6068,5.6044,3.3071,5.8535,3.5911,3.5441,5.7476,3.7060,3.7782,5.1412,8.4387,2.8000,4.1750
2005-07-29,4.5583,5.7920,4.5005,4.9295,4.0169,3.9379,3.1602,2.9786,3.6494,4.2428,4.0985,5.6991,3.3147,4.2590,4.0939,4.1494,3.3902,4.7447,5.7087,3.4208,5.9854,3.7231,3.6817,5.8905,3.9001,3.9176,5.2915,8.6096,2.9131,4.3094
2005-08-05,4.7748,6.2872,4.7401,5.1079,4.1410,4.1786,3.3619,3.1958,3.8729,4.5158,4.3339,5.8902,3.5261,4.4250,4.3414,4.3007,3.5500,4.9630,5.8950,3.6036,6.1754,3.9416,3.9186,6.0658,4.1318,4.0140,5.6831,8.8944,3.0526,4.5141
2005-08-12,5.0151,6.3957,4.8409,5.2183,4.1471,4.2972,3.5072,3.2599,3.9114,4.7720,4.4772,5.9983,3.5980,4.5180,4.4782,4.3982,3.6925,5.0893,5.9134,3.6962,6.1978,4.0793,3.9401,6.0993,4.2906,4.1215,6.0241,8.9603,3.1232,4.6108
2005-08-19,4.9214,6.1944,4.8295,4.9874,3.9535,4.3161,3.5337,3.3529,3.8460,4.6816,4.5442,6.0514,3.6251,4.4919,4.5337,4.4442,3.7732,5.0235,5.9070,3.7713,6.0483,3.7199,3.8909,5.9379,4.3141,4.0565,6.1060,9.0505,3.1851,4.5514
2005-08-26,5.1113,5.8151,4.9473,4.9543,3.9372,4.3886,3.6254,3.4411,3.8269,4.7879,4.7131,6.2208,3.6442,4.5627,4.7748,4.5422,3.8137,5.1551,5.9737,3.8402,6.2263,3.8698,3.9433,5.9269,4.3993,4.1132,6.2283,8.9464,3.3057,4.6043
2005-09-02,5.0929,5.9331,5.0366,5.1094,3.9717,4.4990,3.7366,3.5371,3.8797,4.9237,4.8887,6.5365,3.7309,4.7439,4.9537,4.6722,3.9506,5.3321,6.1452,3.9927,6.3000,3.9100,4.0770,6.1076,4.5194,4.1977,6.4189,9.2740,3.4124,4.7232
2005-09-09,5.0685,6.1722,5.1574,5.0696,3.9640,4.5496,3.7661,3.5499,3.9195,4.9730,4.9484,6.8313,3.8103,4.7760,4.9808,4.6684,3.9001,5.3783,6.1974,3.9953,6.2991,3.9317,4.1600,6.1361,4.5241,4.1279,6.3398,9.1277,3.4070,4.7469
2005-09-16,5.1298,6.3893,5.3297,5.1737,4.0268,4.7361,3.9440,3.7551,4.0688,5.1592,5.2088,7.0609,3.9067,4.9622,5.1634,4.7925,4.0252,5.5677,6.3426,4.1592,6.3820,4.1216,4.2749,6.2601,4.6966,4.2224,6.5189,9.4028,3.5885,4.8872
2005-09-23,4.8863,6.0463,5.0619,4.9545,3.8289,4.4210,3.7460,3.5415,3.8418,4.8844,5.0795,6.9408,3.6950,4.7503,4.9539,4.3947,3.7800,5.3052,6.0255,3.9655,5.8984,3.9749,3.9998,5.9341,4.3695,3.9824,6.1928,9.0662,3.3514,4.6389
2005-09-30,4.9267,6.0534,5.1027,4.9576,3.8102,4.4589,3.6948,3.5495,3.7939,4.9015,5.2078,7.1854,3.6648,4.7716,4.8523,4.3273,3.7392,5.2964,6.0183,4.0281,5.9462,3.8534,4.0202,5.9230,4.3223,4.0163,6.0979,8.7273,3.2448,4.6373
2005-10-14,4.8406,6.2128,5.1650,4.8247,3.7931,4.5171,3.7078,3.5540,3.7857,4.9152,5.2878,7.1936,3.5804,4.8108,4.7275,4.3012,3.7278,5.3070,5.9191,4.1188,5.9257,3.7092,4.0116,5.7084,4.2784,3.9970,6.0754,8.9126,3.1927,4.6078
2005-10-21,4.8240,6.1137,5.2003,4.7617,3.7304,4.6227,3.7313,3.7173,3.7944,4.8837,5.4569,7.3302,3.6110,4.7856,4.7956,4.2680,3.7173,5.4277,5.9969,4.1611,6.1721,3.9468,4.1122,5.6437,4.2960,4.0104,6.1946,9.0530,3.2535,4.6373
2005-10-28,4.6895,5.2948,4.7333,4.5817,3.5824,4.2138,3.4679,3.4182,3.4218,4.5310,5.2104,7.1809,3.2380,4.4448,4.3596,4.0204,3.5012,5.0422,5.7681,3.8020,5.2290,3.4566,3.7584,5.4179,3.9316,3.8319,5.7013,8.9138,2.9740,4.3193
2005-11-04,4.9377,5.1618,4.6892,4.4510,3.5547,4.2598,4.2334,3.5173,3.4309,4.5590,5.1921,7.0867,3.2716,4.4394,4.1658,4.1721,3.5463,5.0666,5.7688,3.8200,5.2568,3.5834,3.8371,5.4308,4.0031,4.0367,5.4517,8.9368,3.0672,4.3586
