日期,CS石油石化,CS煤炭,CS有色金属,CS电力及公用事业,CS钢铁,CS基础化工,CS建筑,CS建材,CS轻工制造,CS机械,CS电力设备,CS国防军工,CS汽车,CS商贸零售,CS餐饮旅游,CS家电,CS纺织服装,CS医药,CS食品饮料,CS农林牧渔,CS银行,CS非银行金融,CS房地产,CS交通运输,CS电子元器件,CS通信,CS计算机,CS传媒,CS综合
2005-07-08,4.6446,6.0976,4.9268,3.9817,3.4958,4.0708,4.2809,3.0723,3.8472,4.3013,4.7862,6.1967,3.6480,4.3916,4.1405,4.6785,3.7366,5.2587,5.6102,4.3592,5.3480,3.1317,3.5217,5.2358,4.4825,4.5468,5.7555,7.0520,2.6573
2005-07-15,4.6118,5.9019,4.8482,3.9173,3.5073,4.0698,4.2265,3.0103,3.7981,4.2600,4.7421,6.1200,3.6087,4.4030,4.0930,4.6793,3.6819,5.2424,5.5071,4.3412,5.6300,3.0983,3.4511,5.2955,4.4887,4.4759,5.8752,7.1090,2.5903
2005-07-22,4.6121,5.7976,4.8311,3.9286,3.5100,4.0269,4.1957,3.0165,3.8042,4.2998,4.8210,6.5493,3.5794,4.4912,4.1515,4.5785,3.6384,5.2627,5.5313,4.2763,5.8880,3.1867,3.5752,5.3955,4.4592,4.4700,6.0362,7.2780,2.6036
2005-07-29,4.7736,5.9119,5.0593,4.0489,3.6060,4.2020,4.3161,3.1473,3.8847,4.4644,4.9205,6.8313,3.6754,4.6326,4.2885,4.7430,3.8047,5.4258,5.6633,4.4265,6.0100,3.3150,3.6939,5.5202,4.6223,4.6406,6.1690,7.4600,2.7061
2005-08-05,5.0168,6.3567,5.3402,4.2641,3.7828,4.4255,4.5357,3.3783,4.0892,4.7381,5.1731,7.0693,3.8789,4.8165,4.5650,4.9426,3.9874,5.7128,5.6682,4.6465,6.1960,3.5533,3.9656,5.7253,4.9530,4.9432,6.5410,7.6800,2.8473
2005-08-12,5.2871,6.5190,5.4807,4.3941,3.8415,4.5641,4.6913,3.4830,4.1992,4.9403,5.3562,7.2760,4.0585,4.9201,4.6995,5.1059,4.1926,5.8713,5.7598,4.7608,6.2180,3.7233,4.1304,5.8253,5.1538,5.1982,6.8959,7.8390,2.9606
2005-08-19,5.2886,6.3895,5.4536,4.3007,3.7733,4.6095,4.7087,3.5718,4.1981,4.9268,5.4238,7.2760,4.0813,4.8898,4.7335,5.1626,4.2891,5.7912,5.8131,4.8633,6.0760,3.3867,4.1083,5.7583,5.1955,5.2088,6.9648,8.0680,3.0624
2005-08-26,5.4671,6.1552,5.5782,4.3630,3.8218,4.7090,4.8196,3.6965,4.2467,5.0151,5.5815,7.4207,4.1824,5.0428,4.9970,5.3137,4.3597,5.9675,5.9182,4.9180,6.2560,3.5817,4.1766,5.7698,5.3181,5.3338,7.1541,8.0600,3.2658
2005-09-02,5.6004,6.2886,5.6945,4.5401,3.9138,4.8273,4.9722,3.8080,4.3342,5.2010,5.7772,7.8967,4.2637,5.2045,5.1945,5.4948,4.5383,6.1830,6.1096,5.0980,6.3460,3.7000,4.3411,5.9442,5.4917,5.4997,7.3914,8.4070,3.3900
2005-09-09,5.6021,6.5381,5.7134,4.5339,3.9438,4.8836,5.0500,3.8165,4.3536,5.2381,5.8215,8.2147,4.3275,5.2710,5.2085,5.5137,4.5057,6.2559,6.1851,5.1188,6.3300,3.7183,4.4342,5.9858,5.5355,5.5335,7.4155,8.3210,3.4115
